frequency,period,app_res_0_2,phase_0_2,app_res_0_3,phase_0_3,coherence_0_2+3,app_res_1_2,phase_1_2,app_res_1_3,phase_1_3,coherence_1_2+3,dapp_res_0_2,dphase_0_2,dapp_res_0_3,dphase_0_3,dapp_res_1_2,dphase_1_2,dapp_res_1_3,dphase_1_3
4.6875000000e-02,2.1333333333e+01,6.7240460822e+01,3.1637647150e+01,1.0512648167e+02,5.8327222230e+01,2.4699526389e-01,2.4177992529e+02,-1.3856133764e+02,8.7472556149e+00,-1.2636959698e+02,4.4573046006e-01,4.0656329049e+00,1.7324323957e+00,6.4387704255e+00,1.7548958738e+00,8.2655879283e+00,9.7941623502e-01,1.9900071212e+00,6.5315535451e+00
6.2500000000e-02,1.6000000000e+01,6.8975508029e+01,3.1744364808e+01,1.2889377981e+02,5.9897901848e+01,2.0815230286e-02,2.2650220665e+02,-1.3668558155e+02,1.2838265591e+01,-1.3616612124e+02,2.5481400477e-01,6.1779942597e+00,2.5667909928e+00,1.1322667525e+01,2.5173822753e+00,1.1757449660e+01,1.4872435644e+00,3.5154255507e+00,7.8691968575e+00
9.3750000000e-02,1.0666666667e+01,4.1242878924e+01,2.8229573399e+01,1.5321293475e+02,5.7429532831e+01,0.0000000000e+00,2.0447526735e+02,-1.3493111906e+02,1.8394579599e+01,-1.2185553732e+02,8.5359546249e-02,5.7758846544e+00,4.0152974227e+00,1.4724714655e+01,2.7543008286e+00,1.1791546484e+01,1.6522768390e+00,5.0080100791e+00,7.8238130657e+00
1.2500000000e-01,8.0000000000e+00,4.1154003574e+01,2.3444482821e+01,1.5551735286e+02,5.4024177622e+01,0.0000000000e+00,2.0396201683e+02,-1.3542646155e+02,1.0455630803e+01,-1.1214940902e+02,0.0000000000e+00,9.0346660991e+00,6.3018584616e+00,2.3427266406e+01,4.3196334146e+00,1.9082151459e+01,2.6811999052e+00,6.0039023899e+00,1.6685215222e+01
1.8750000000e-01,5.3333333333e+00,2.7732078222e+01,3.0399714384e+01,1.9079198273e+02,5.6665962665e+01,0.0000000000e+00,2.0060698048e+02,-1.3316072972e+02,5.4153083214e-01,-8.1701954851e+01,0.0000000000e+00,9.6969453853e+00,1.0068919453e+01,3.2701304050e+01,4.9162122205e+00,2.4573022610e+01,3.5113738291e+00,1.5671365234e+00,3.6000000000e+02
2.5000000000e-01,4.0000000000e+00,4.1447542662e+01,6.5869668461e+01,2.2152885208e+02,6.0238133196e+01,0.0000000000e+00,2.4614698806e+02,-1.4007961966e+02,1.3481589795e+00,-1.6572703095e+02,0.0000000000e+00,2.2817477713e+01,1.5977348392e+01,6.4292557409e+01,8.3437084287e+00,4.5673752551e+01,5.3234088635e+00,4.0015197356e+00,3.6000000000e+02
3.7500000000e-01,2.6666666667e+00,2.4214693360e+01,1.6952132220e+01,2.5058694999e+02,4.9498566524e+01,0.0000000000e+00,1.5171275780e+02,-1.2996484645e+02,1.0101958322e+01,-1.1882962847e+02,0.0000000000e+00,2.2268619448e+01,2.7375251696e+01,1.1015695360e+02,1.2697160961e+01,7.7556221316e+01,1.4809269686e+01,3.2079816265e+01,3.6000000000e+02
5.0000000000e-01,2.0000000000e+00,3.1774873271e+01,1.7466799702e+01,2.3335821884e+02,4.1684474445e+01,0.0000000000e+00,1.2261437653e+02,-1.2752779445e+02,2.2631887058e+01,-1.2077735089e+02,0.0000000000e+00,1.1320774225e+02,3.6000000000e+02,4.2753958524e+02,6.6356505890e+01,6.3232915320e+01,1.4942691670e+01,4.2322240537e+01,6.9230328501e+01
7.5000000000e-01,1.3333333333e+00,7.9986506745e+01,-1.4261672608e+02,1.9045684514e+02,5.9005625149e+01,0.0000000000e+00,2.4317159411e+01,-1.1670695183e+02,2.7713923912e+01,-1.3672427061e+02,0.0000000000e+00,7.9383267970e+01,2.9750832711e+01,1.6885202180e+02,2.6313446952e+01,3.7409740250e+01,5.0282513485e+01,5.6969356722e+01,3.6000000000e+02
1.0000000000e+00,1.0000000000e+00,1.5362764242e+02,-2.0110441186e+01,1.9755648893e+03,1.0380387118e+02,0.0000000000e+00,1.5489629805e+01,-1.1910561777e+02,2.4536022333e+02,-1.0714168640e+02,0.0000000000e+00,3.6085726080e+02,3.6000000000e+02,3.9174246578e+03,8.2510822215e+01,6.9969305568e+01,3.6000000000e+02,5.7738276480e+02,3.6000000000e+02
